가수,제목,장르,가사
아이유 (IU),좋은 날,가요 / 전체,"어쩜 이렇게 하늘은 더 파란 건지 오늘따라 왜 바람은 또 완벽한지 그냥 모르는 척 하나 못들은 척 지워버린 척 딴 얘길 시작할까 아무 말 못하게 입맞출까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 어떡해 새로 바뀐 내 머리가 별로였는지 입고 나왔던 옷이 실수였던 건지 아직 모르는 척 기억 안 나는 척 아무 일없던 것처럼 굴어볼까 그냥 나가자고 얘기할까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 (휴~) 어떡해 이런 나를 보고 그런 슬픈 말은 하지 말아요 철없는 건지 조금 둔한 건지 믿을 수가 없는걸요 눈물은 나오는데 활짝 웃어 네 앞을 막고서 막 크게 웃어 내가 왜 이러는지 부끄럼도 없는지 자존심은 곱게 접어 하늘위로 한 번도 못했던 말 어쩌면 다신 못할 바로 그 말 나는요 오빠가 좋은걸 (아이쿠, 하나 둘)  I'm in my dream It's too beautiful, beautiful day Make it a good day Just don't make me cry 이렇게 좋은 날"
SG워너비,해바라기,가요 / 발라드,너는 나의 사랑 너는 나의 행복 소중한 사람 비가 내리면 함께 맞아줄 둘도 없는 내 사랑 달콤한 노래를 부르면 너의 두 눈이 미소 짓고 네 볼에 입 맞추면 수줍어하지 밤새 전화기를 붙들고 무슨 할 말이 많았는지 끊을땐 아쉬워 먼저 못 끊지 오 너는 나의 사랑 너는 나의 행복 소중한 사람 비가 내리면 함께 맞아줄 둘도 없는 내 사랑 세상 어떤 사람 세상 어떤 말로도 너를 대신 못해 난 말야 오직 너 하나뿐야 너를 사랑해 집 앞까지 바래다주고 너의 방 불빛이 켜지면 그때서야 가는걸 너는 몰랐지 신발을 사주고 싶은데 그럼 네가 떠나 갈까 봐 가게 앞에서 늘 고민만 하지 오 너는 나의 사랑 너는 나의 행복 소중한 사람 비가 내리면 함께 맞아줄 둘도 없는 내 사랑 세상 어떤 사람 세상 어떤 말로도 너를 대신 못해 난 말야 오직 너 하나뿐야 너를 사랑해 해바라기 같은 사랑만 주고 싶어  오직 한 사람 내겐 첫 사랑 너에게 너도 말해 줄래 내게 말해 줄래 좋아한다고 너도 나 만큼 하늘 땅만큼 나를 사랑한다고 오 많은 인연 속에 많은 사람들 중에 우리 둘뿐이야 고마워 네가 내게 와줘서 너무 행복해  너를 사랑해 워~ 사랑해
애프터스쿨 (After School),뱅 (Bang) !,가요 / 댄스,"T.R.Y. Do it now! Can you follow me? Yes!! Uh-ha~!! T.R.Y. Pick it up! You’ll never catch me!! Oh~ No!! 눈부시게 빛나는 나를 따라 Oh! Oh! Oh! 가식적인 말들은 비웃어버려 Ha! Ha! Ha!   예쁘기만 한 너는 더 이상은 No! No! No! 짜릿한 음악 속에 던져버려 Bang! Bang! Bang! 우리는!! Oh~ After!! School Up!! 너흰 모두 비켜라!! Check it out!! 다 가져봐!! A-ha! A-ha! A-ha! Right now!! Oh~ After!! School Up!! 모두 미쳐라!! 외쳐라!! 또 이렇게!! A-ha! A-ha! A-ha! T.R.Y. Do it now! Can you follow me? Yes!! Uh-ha~!! T.R.Y. Pick it up! You’ll never catch me!! Oh~ No!! 가슴 뛰는 이 밤을 내 맘은 Oh! Oh! Oh! 불타는 네 눈길은 내 몸을 타고 Ha! Ha! Ha! 거칠어진 숨소리 멈추진 마 No! No! No! 심장이 이 리듬을 따라가게 쿵! 쿵! 쿵!  우리는!! Oh~ After!! School Up!! 너흰 모두 비켜라!! Check it out!! 다 가져봐!! A-ha! A-ha! A-ha! Right now!! Oh~ After!! School Up!! 모두 미쳐라!! 외쳐라!! 또 이렇게!! A-ha! A-ha! A-ha! Bringin’ it to you daily It’s only from the best  After School Playgirlz know how to get fresh So cool, So right, just so tasty We bring it fast forward the fellows go crazy  좀더 과감하게 보여 주는 거야 너 (To be raised for my life) 좀더 특별하게 춤을 추는 거야 너 (To be raised for my life) One! Two!! Three!!!  음악에 널 맡겨 주문을 걸어봐 Yeah (To be raised for my life) Crisp clean original new quality is what we give to you.  (Check it out) a new generation and a whole new start (check it out) collaboration with a brand new heart  조금 더 다가와 이순간을 Catch Up!! Oh On your mark set ready to go can you feel it in your body this A.S. flow Hey hey what you want ! Let’s go...!!  우리는!! Oh~ After!! School Up!! 너흰 모두 비켜라!! Check it out!! 다 가져봐!! A-ha! A-ha! A-ha! Right now!! Oh~ After!! School Up!! 모두 미쳐라!! 외쳐라!! 또 이렇게!! A-ha! A-ha! A-ha! T.R.Y. Do it now! Can you follow me? Yes!! Uh-ha~!! T.R.Y. Pick it up! You’ll never catch me!! Oh~ No!! A-ha! A-ha! A-ha! T.R.Y. Do it now!! A-ha! A-ha! A-ha! Can you follow me? Yes!! Uh-ha~!! A-ha! A-ha! A-ha! A-ha! A-ha! A-ha!"
일 락,눈물이 왈칵 (Feat. 매직플로우),가요 / 발라드,떠나간 사람 내겐 한 사람 Love is go on 너무 아파 너에게 사랑이란건 아무 감동없는 드라마 같은걸  아니면 내가 너에게 아무 의미없는 그런 존재라는걸 알면서 인정이 안돼 화도 안나는데 진정이 안돼 멀리서 그저 멀리서 널 바라보고 있어 사랑을 외치고 외쳐 들리지 않는 나의 목소리 어딜가도 너만한 사람은 없은것만 같은 나의 마음이 이렇게 애타게 부르고 불러 애타게 너에겐 들리지 않아 들리지 않아 자꾸만 눈물이 왈칵 내 가슴이 왈칵 비라도 내리면 차라리 좋겠어 혹시라도 눈물 들킬까봐 숨겨왔던 내맘 들킬까봐 또 눈물이 왈칵 내 사랑이 왈칵 바람아 내눈물 데려가줘 오늘도 난 차마 못한그말 눈물이 대신한말 너를 사랑해 자꾸 넌 딴소리하며 말 돌리고 내 말이 잔소리라며 말 흘리고 뻔한 니맘 다 아는데 But 난 I can’t let it go 너를 만나고 너를 닮아가 너의 습관들 하나까지도 내겐 익숙해져 버려서 널 따라하고 있어 돌아오라고 외치고 외쳐 내 가슴이 내는 목소리 결국에 너에겐 들리지 않아 되돌아오는 슬픈 메아리 이렇게 애타게 부르고 불러 애타게 그래도 들리지 않아 너는 듣지를 않아 자꾸만 눈물이 왈칵 내 가슴이 왈칵 비라도 내리면 차라리 좋겠어 혹시라도 눈물 들킬까봐 숨겨왔던 내맘 들킬까봐 또 눈물이 왈칵 내 사랑이 왈칵 바람아 내눈물 데려가줘 오늘도 난 차마 못한그말 눈물이 대신한말 너를 사랑해 이건 아냐 말도 안돼 고작 며칠밤 동안에  어떻게 그렇게 니맘이 바뀌어 친구로 지내잔 말이 날 할퀴어 아무리 참아보려 애써도 이렇게 난 눈물만 자꾸만 눈물이 왈칵 자꾸만 눈물이 왈칵 내 가슴이 왈칵 구름이 달빛을 가리면 좋겠어 혹시라도 이런 날 볼까봐 바보같은 눈물 보일까봐 또 눈물이 왈칵 내 사랑이 왈칵 눈물아 오늘만 참아줄래 하늘 가득 채운 별들만큼 수없이 하고픈 말 내게 돌아와 사랑해 널 사랑해 원하고 또 원하네 눈물이 대신한 말 너를 사랑해
임정희,진짜일 리 없어,가요 / 발라드,이게 진짜일 리 없어 주변을 지나던 사람들 하나 둘씩 느려지고  주위의 모든 게 갑자기 들리지가 않아 세상은 갑자기 멈춰진 흑백사진 같은데 니 목소리만 메아리처럼 헤어지자 * 이게 진짜일 리 없어 니가 날 떠나는 게 꿈속인 게 틀림 없어 눈물도 나지 않는 게 누가 나 좀 꼬집어 줬으면 해 꿈이라면 나를 깨워줬음 해 아님 내가 살 수 없어 이게 진짜일 리 없어 그건 안돼 조금씩 주변의 사람들 움직이기 시작했고 니가 일어서는 모습이 영화처럼 보여 떠나는 널 잡아보려고 손을 내밀려 해도 온몸이 돌처럼 다 굳어버린 것 같아 이게 진짜일 리 없어 니가 날 떠나는 게 꿈속인 게 틀림 없어 눈물도 나지 않는 게 누가 나 좀 꼬집어 줬으면 해 꿈이라면 나를 깨워줬음 해 아님 내가 살 수 없어 이게 진짜일 리 없어 니가 떠나고 나서야 머리가 움직이나 봐 그대 뒤를 쫓아 거리를 헤매어 뛰지만 이게 진짜일 리 없어 니가 날 떠나는 게 꿈속인 게 틀림 없어 눈물도 나지 않는 게 누가 나 좀 꼬집어 줬으면 해 꿈이라면 나를 깨워줬음 해 아님 내가 살 수 없어 이게 진짜일 리 없어 이게 진짜일 리 없어 정말 니가 떠났나 봐 
손담비,queen,가요 / 댄스,Oh Ladies This is your story 잘 듣고 널 찾아 hey listen 더 높은 네 Kill heels 네 over denim loo-looks 손끝 빛나는 bling bling 핑크빛 lip glo-loss 거울 속에 비친 널 한번 바라봐 Oh 그래 그래 You so cool 널 사로잡은 Girl So Sexy Hey 훔쳐보는 Mr. smarty Oh 화려한 너를 느껴봐 라리라 네 생각 생각대로 될 수 있지 1 2 3 4 Do you wanna 이제 wake up wake up wake up wake wake up wake up wake up wake up wake wake up Just wake up wake up wake up wake wake up 모두 다 원하는대로 Until you decide 모두 다 이루어져라 Until you decide 모두 다 이루어져라 Until you decide 모두 다 이루어져라 Until you decide 모두 다 원하는대로 Until you decide 네 하루가 새롭길 원할 때 Something 간절히 이루기를 원할 때 마땅한 주문이 없을 때 이게 바로 dB Made Style The Object is Anti Bore 바로 PLEDIS Made Style This is the Magic Show We'll offer and make the Show Hey little girl big girl 눈뜨고 둘러봐봐 널 부르는 저 Call Ring Ring 번호표가 필요하지 네 안에 숨어있던 너를 깨워봐 그래 그래 You so cool 널 사로잡은 Girl So Sexy Hey 훔쳐보는 Mr. smarty Oh 화려한 너를 느껴봐 라리라 네 생각 생각대로 될 수 있지 1 2 3 4 Do you wanna 이제 wake up wake up wake up wake wake up wake up wake up wake up wake wake up Just wake up wake up wake up wake wake up 모두 다 원하는대로 Until you decide 이제 wake up wake up wake up wake wake up wake up wake up wake up wake wake up Just wake up wake up wake up wake wake up 모두 다 원하는대로 Until you decide 모두 다 이루어져라 Until you decide 모두 다 이루어져라 Until you decide 모두 다 이루어져라 Until you decide 모두 다 원하는대로 Until you decide Until you decide Until you decide Until you decide dB style Until you decide
현아,Change (Feat. 용준형 From Beast),가요 / 댄스,"[Intro] yeah, this, I'm bring it bring it let let's go [Hook] uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh change change change change change [1A] 다 똑같은 것 말고 나를 위한 slogan 다 비슷한 생각들 말고 나를 위한 logo what you want? (what you do) tell me baby what you do 언제나 눈치 보지 말고 step step swagger [1B] (I can change) 아무리 어려도 (you can change) 누가 뭐라 해도 (we can change) 모두 내 맘대로 pop pop pop ma collar (do it up) 신경 쓰지 말고 (take it on) 모두 하늘 위로 (jumping up) do it do it do it better [C] (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change  I'm gonna change change change change change  [1A] 1, 2, 3 Ah~ let's get let's get let's movin' let's get let's get let's get started you you you you ready? yeah~ we just burn it! 자꾸만 시간이 가 괜한 걱정만 늘어가 왜 난  이렇게 지냈는지 뻔한 말들만 늘어놔 all night 고민 고민 이제 그만해 왜 이리 왜 이리 피하기만 해 더는 더는 속이지 말고 show me what you got [2B] (I can change) 아직은 몰라도 (you can change) 누가 날 막아도 (we can change) 모두 내 멋대로 pop pop pop ma collar (do it up) 눈치보지 말고 (take it on) 모두 손을 위로 (jumping up) do it do it do it better [C] (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change  I'm gonna change change change change change  [D] 나는 달라 하나 하나 원하는 걸 내가 내가 change 지금부터 I can change 이제부터 you can change 모든 걸 다 we can change change change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh  [C] (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change  I'm gonna change change change change change"
2am,전활 받지 않는 너에게,가요 / 발라드,얼마나 얼마나 싫어할 지 알면서도  이것 밖에 할 게 없다  너의 집 앞에서  할일없이 너를 기다리는 일 아무리 아무리 나 비참해도  너를 잃는 것보단 잃을 게 없어서 같은 곳에서  너의 집 앞에서 기다린다 * 이미 전활 받지 않는 너에게  나를 보려조차 않는 너에게 아무리 빌어도 용서를 구해도  소용 없는 일이라 해도 너의 집 앞에 서서 기다린다  나를 본체조차 하지 않아도 마치 처음 본 사람처럼 날 지나쳐도 미안하다는 내 한마딜 들어줄 때까지 하루에도 수 십 번씩 전화기를 보고  작은 소리에도 놀라서 너의 문자인지 몇 번씩 확인하곤 했어 처음에는 처음엔 늘 있는 다툼처럼  돌아 올 줄 알았어 이렇게 독하게 날 떠나기엔  너는 너무 착한 여자라서 * 이미 전활 받지 않는 너에게  나를 보려조차 않는 너에게 아무리 빌어도 용서를 구해도  소용 없는 일이라 해도
GD & TOP,Oh Yeah (Feat. 박봄),가요 / 랩/힙합,oh yeah oh oh yeah top oh yeah oh oh yeah gd oh yeah oh oh yeah oh yeah oh oh yeah 사랑은 falling 내 말 한마디면 넘어가 귀신에 홀린 듯 널 보면 내가 넘어가 티내긴 싫지만 이미 you rock my world 내 맘에 골인 대답은 항상 oh yes girl 아껴온 한 마디 살결을 가까이 널 절대 실망시키지 않아 girl i promise 우리는 닮은꼴 남들과 다른 soul  지루한 세상을 등에지고 let's rock and roll um 오늘처럼 별이 빛나는 밤에 행운의 예감이 우릴 부르네 아름다운 소리로 질러줘 like this (like) this (like) this oh yeah (oh yeah) oh oh oh (now feel i got it) oh yeah (oh yeah 제발 날 멈추지 마) oh yeah oh oh oh mamama oh yeah (oh yeah yeah yeah yeah)  그댄 style부터 smlie까지 모든 게 다 good 점점 서로에게 빠져드는 우리들 비워지는 나의 cup 니 향기로 fill it up 너와 내 불타는 kitchen 막 타오르는 느낌 풍선껌처럼 부푼 맘 i'm just cellebrating  i i i i i i like it babe you you you you come be my lady um 오늘처럼 별이 빛나는 밤에 행운의 예감이 우릴 부르네 아름다운 소리로 질러줘 like this (like) this (like) this oh yeah (oh yeah) oh oh oh (now feel i got it) oh yeah (oh yeah 제발 날 멈추지 마) oh yeah oh oh oh mamama oh yeah (oh yeah) oh yeah (yeah yeah yeah) put your hands in the air put your hands in the air say yeah put your hands in the air put your hands in the air say yeah 오늘처럼 별이 빛나는 밤에 행운의 예감이 우릴 부르네 아름다운 소리로 질러줘 like this (like) this (like) this oh yeah (oh yeah) oh oh oh (now feel i got it) oh yeah (oh yeah 제발 날 멈추지 마) oh yeah oh oh oh mamama oh yeah (oh yeah) oh yeah (yeah yeah yeah) yeah yeah yeah you make me wanna say oh yeah yeah yeah all they everyday oh oh yeah oh yeah oh yeah oh yeah
바비 킴 (Bobby Kim),남자답게,가요 / R&B/소울,인생엔 무서우리만큼 사랑엔 순수해 너무나  당당해 남자기에 그렇게 Hey~  뜨거운 심장이 뛴다 달려들어 난 또 이 세상에 몇번을 깨져도 멈추지 않아 고통따윈 날 어쩌지 못해 자존심 하나로 살아간다 태풍이 몰아쳐도Hey~ 멋지게 걸어 난 남자니까 한 걸음 한 걸음 당당히 인생엔 무서우리만큼 사랑엔 순수해 너무나  당당해 남자기에 그렇게 Hey~  혼자서 모든 걸 이겨내 진심을 보이면 지는 거지  절대로 타협 같은 건 안해 태어나 부터 정해 졌으니   자존심 하나로 살아간다 태풍이 몰아쳐도Hey~  멋지게 걸어 난 남자니까 한 걸음 한 걸음 당당히 한없이 넓은 이 가슴  사랑앞에 서면 작아지네 배신을 당해도 독할 수 없는 여리디 여린 남자이기에 뒤돌아 몰래 눈물 흘려 아픔을 묻으려 술을 마셔 어차피 내일이면 다 잊어  난 강하니까 다시 일어서   자존심 하나로 살아간다 태풍이 몰아쳐도Hey~ 멋지게 걸어 난 남자니까 한 걸음 한 걸음 당당히 (Say one more time) 더 크게 웃어 난 남자니까 아파도 슬퍼도 당당히(남자답게)
2am,죽어도 못 보내,가요 / 발라드,어려도 아픈 건 똑같아  세상을 잘 모른다고  아픈 걸 모르진 않아 괜찮아질 거라고  왜 거짓말을 해  이렇게 아픈 가슴이  어떻게 쉽게 낫겠어 너 없이 어떻게 살겠어  그래서 난 죽어도 못 보내  내가 어떻게 널 보내  가려거든 떠나려거든  내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게  안 된다면 어차피 못살 거 죽어도 못 보내 아무리 니가 날 밀쳐도  끝까지 붙잡을 거야  어디도 가지 못하게 정말 갈 거라면  거짓말을 해  내일 다시 만나자고  웃으면서 보자고 헤어지잔 말은 농담이라고  아니면 난 죽어도 못 보내  내가 어떻게 널 보내  가려거든 떠나려거든  내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내 그 많은 시간을 함께 겪었는데 이제와 어떻게 혼자 살란 거야 그렇겐 못해 난 못해 죽어도 못 보내  정말로 못 보내  내가 어떻게 널 보내  가려거든 떠나려거든  내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게  안 된다면 어차피 못살 거 죽어도 못 보내
휘성 (Realslow),결혼까지 생각했어,가요 / R&B/소울,My people hellow hellow hellow hellow My name is RealSlow come on and hellow hellow hellow hellow 걱정 말고 날 떠나가 Bye Bye 너 없다고 죽진 않아 Good bye 어서 좀 빨리 가 내가 달려가 널 가로막고 붙잡기 전에 우리 인연 여기까진 거야 분명 우린 운명 아닌 거야 어차피 우리 헤어질 테니 마지막 얘길 들어주겠니 너와 결혼까지 생각했어 같은 집 같은 방에서 같이 자고 깨며 실컷 사랑하려 했어 한 순간 물거품이 된 꿈 슬퍼서 Cry Cry Cry My people hellow hellow hellow hellow My name is RealSlow come on and hellow hellow hellow hellow 울컥울컥 차오르는 기억 눈물 없인 잊지 못할 추억 잠도 못 자고 퀭 한 눈으로  많이 울 거야 그리울 거야 너와 결혼까지 생각했어 같은 집 같은 방에서 같이 자고 깨며 실컷 사랑하려 했어 한 순간 물거품이 된 꿈 슬퍼서 Cry Cry Cry 나는 날 잘 알아 아마 난 못 참아 널 다시 찾아갈 거야 그땐 날 만나주지마 너와 결혼까지 생각했어 같은 집 같은 방에서 같이 자고 깨며 실컷 사랑하려 했어 한 순간 물거품이 된 꿈 슬퍼서 Cry Cry Cry My people hellow hellow hellow hellow My name is RealSlow come on and hellow hellow hellow hellow 이젠 정말 안녕 끝으로 꼭 듣고 싶던 사랑해 나 매일 듣던 말 못 듣고 Bye Bye Bye
더블에스501 (SS501),Love Ya,가요 / 댄스,"(형준) YEAH HERE WE GO ONCE AGAIN GUESS WHOS BACK, LETS GO THIS SONG IS ALL ABOUT YOU I REALLY HATE YOU BUT I LOVE YOU SO WHAT CAN I DO? NOW LISTEN (ALL) 너를 보면 아파, 숨이 너무 가파, 이젠 내손 잡아 (형준) 그 사람은 너를 사랑하지않는데 왜?  (ALL) WHY DONT YOU GET IT? BABY LET ME LOVE YA, LOVE YA, LOVE YA 내 전부를 걸어, 이 주문을 걸어,  WE CAN BE SO PERFECT (정민) 세상모두 적이된다해도 나는 안돼 (영생) 너 아니면 안돼  BABY LET ME LOVE YA, LOVE YA, LOVE YA * (규종) 오늘을 여태껏 기다렸어 미안해 간절히 바래왔어 날 빗겨갔던 니 오랜 사랑이 잔인하게 끝나기를 (영생) 그사람 잊어, 이젠 지워버려.  어차피 너하고는 어울리지 않는걸 (형준) SO BABY WONT YOU COME TO ME, ILL MAKE YOU MAKE YOU HAPPY (ALL) 너를 보면 아파, 숨이 너무 가파, 이젠 내손 잡아 (형준) 그 사람은 너를 사랑하지않는데 왜?  (ALL) WHY DONT YOU GET IT? BABY LET ME LOVE YA, LOVE YA, LOVE YA 내 전부를 걸어, 이 주문을 걸어,  WE CAN BE SO PERFECT (정민) 세상모두 적이된다해도 나는 안돼 (영생) 너 아니면 안돼  BABY LET ME LOVE YA, LOVE YA, LOVE YA  (정민) 처음엔 행복하길 바랬어  그게 비록 그사람 옆에서라도 믿었었어. 나 없이 행복하다면, 그걸로 충분했어 (현중) 하지만, 너의 눈물이보여. 너의 슬픔이 보여  아무리 참아봐도 안돼 이젠 지쳐 미쳐 (영생) I CANNOT LET IT GO, I GOTTA TAKE YOU 이게 우리 운명인걸 yeah (ALL) 너를 보면 아파, 숨이 너무 가파, 이젠 내손 잡아 (형준) 그 사람은 너를 사랑하지않는데 왜?  (ALL) WHY DONT YOU GET IT? BABY LET ME  LOVE YA, LOVE YA, LOVE YA 내 전부를 걸어, 이 주문을 걸어,  WE CAN BE SO PERFECT (정민) 세상모두 적이된다해도 나는 안돼 (영생) 너 아니면 안돼  BABY LET ME LOVE YA, LOVE YA, LOVE YA  (현중) 어떻게 넌 모르는데? 하필 그 사람인데?  너의 아픈사랑따윈 난 볼수없는데 (규종) 잊어, 니 가슴 멍들게하는 그런 나쁜사랑 이젠 집어쳐 Please! 아픈 너를 구하겠어 (형준) 거울에 비친 너의 눈물이 소리없이, 의미도없이 흐를때  내가슴은 완전히 찢어지는걸, I CAN CROSS OVER THE SEA. (규종) 나를 믿어줘, 하늘에 맹세할게  우린 마지막 사랑이 될테니까 YEAH (정민) 너를 보면 아파. (규종) 숨이 너무 가파.  (현중) 이 심장이 아파 (형준) 그 사람은 너를사랑하지않는데 왜?  (ALL) WHY DONT YOU GET IT? BABY LET ME  LOVE YA LOVE YA LOVE YA (ALL) 내 전부를 걸어, 이 주문을 걸어, WE CAN BE SO PERFECT (정민) 세상모두 적이된다해도 나는 안돼 (영생) 너 아니면 안돼 BABY LET ME LOVE YA, LOVE YA, LOVE YA LET ME LOVE YOU BABY! (형준) 안돼, 안돼, 너없인..."
